alloy_rep_id,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,toughness,young_mod,frac_stress,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_1,2.24278715507854,-2.75514180863606,5.75580245436675,2.68375199847066,-0.449187192923495,-0.0769121983000301,0.364164070329711,198.177694738511,9.19356867780726,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,1,7,63
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_2,2.23934772011642,-2.77419000360676,5.68712127016542,2.67519959965756,-0.423805809858053,-0.0734998097006353,0.352976341558248,198.193667203061,9.17446493950273,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,2,7,63
0.155247433960763_0.472074473566897_0.353462382084521_0.00757081036969871_0.0116449000181209_3,2.24406234986575,-2.73644967562391,5.81935733262251,2.69339996208156,-0.476370904155748,-0.0828664798291344,0.375188100780825,198.064794211408,9.19894676880183,MoNbTaVW,0.155247433960763,0.472074473566897,0.353462382084521,0.00757081036969871,0.0116449000181209,3,7,63
0.1_0.9_0_0_0_1,2.2188305937114,-2.69414729593322,5.34224772237283,2.68005795928247,-0.343765727019899,-0.0238613318450564,0.359306699167151,181.234145494612,9.14079185242938,MoNb,0.1,0.9,0,0,0,1,100,64
0.1_0.9_0_0_0_2,2.21181808956279,-2.71205822249974,5.27459584022762,2.65960126444844,-0.327958402473367,-0.0213993101395123,0.348416600347234,181.370185460107,9.07869962734695,MoNb,0.1,0.9,0,0,0,2,100,64
0.1_0.9_0_0_0_3,2.21588866658364,-2.70306265959118,5.30807176828055,2.66891279641604,-0.336400531992026,-0.0223216041187049,0.353818445298076,181.382967137842,9.10742631246354,MoNb,0.1,0.9,0,0,0,3,100,64
0.1_0_0.9_0_0_1,2.45642278682326,-2.41463459680266,6.47231083467263,3.38477898883721,-0.336556099347712,-0.0756714382383149,0.576343167941239,156.837862892148,11.3713425791872,MoTa,0.1,0,0.9,0,0,1,100,65
0.1_0_0.9_0_0_2,2.46094655015809,-2.40572585191355,6.5177493946362,3.4009414567697,-0.345067523115706,-0.0764392249461143,0.585609023192539,156.912421678658,11.4239904194212,MoTa,0.1,0,0.9,0,0,2,100,65
0.1_0_0.9_0_0_3,2.46060960577414,-2.40572585191356,6.51726658317601,3.40183059636518,-0.345291736704442,-0.0762270236388469,0.585565559983286,157.010402923135,11.425092688063,MoTa,0.1,0,0.9,0,0,3,100,65
0.1_0_0_0.9_0_1,2.3120390832228,-2.61183134336167,5.6795938673341,2.91078202192328,-0.295226123608607,0.0107882049127483,0.414870742983484,178.553780302773,10.0719748918067,MoV,0.1,0,0,0.9,0,1,100,66
0.1_0_0_0.9_0_2,2.30554949857758,-2.62831523308336,5.60667947249675,2.87915479224437,-0.288171930686572,0.00891495972506491,0.402813938417255,178.436563125704,9.9550101494439,MoV,0.1,0,0,0.9,0,2,100,66
0.1_0_0_0.9_0_3,2.31148245830386,-2.61455985801487,5.6659630147165,2.90426789638766,-0.294406669646132,0.0106589972109283,0.412741748373512,178.554594192247,10.0485463200495,MoV,0.1,0,0,0.9,0,3,100,66
0.1_0_0_0_0.9_1,2.75863779430659,-3.06615473785055,8.52665547476503,4.56763400357987,-0.304219693413927,-0.0353466091939387,0.394210425941451,385.751197819826,15.6185535989815,MoW,0.1,0,0,0,0.9,1,100,67
0.1_0_0_0_0.9_2,2.77050858795434,-3.04072963948473,8.71137033292915,4.6502119948241,-0.325175169623642,-0.0385227924727745,0.413216784245681,385.663352144793,15.8925789510185,MoW,0.1,0,0,0,0.9,2,100,67
0.1_0_0_0_0.9_3,2.76611400395993,-3.05336138639061,8.61633872703527,4.60799908382,-0.31627553090243,-0.0384752056467052,0.40353436305314,385.723104912537,15.7440050131838,MoW,0.1,0,0,0,0.9,3,100,67
0.24_0.64_0.08_0_0.04_1,2.21027911816773,-2.79688141480884,5.37051009027288,2.69066563787624,-0.372385207789077,-0.0541632475922649,0.325788377434211,198.97632403888,9.04625763283282,MoNbTaW,0.24,0.64,0.08,0,0.04,1,3,266
0.24_0.64_0.08_0_0.04_2,2.22051290140951,-2.74887219562248,5.54557695164043,2.73157040706716,-0.427615607245612,-0.0620502661763122,0.353083361507794,198.987655501561,9.15085909091545,MoNbTaW,0.24,0.64,0.08,0,0.04,2,3,266
0.24_0.64_0.08_0_0.04_3,2.21397174138404,-2.77740027923701,5.44042476637755,2.70702811023817,-0.393406212888101,-0.0556389231954882,0.336572242012469,199.092835523767,9.09464397330806,MoNbTaW,0.24,0.64,0.08,0,0.04,3,3,266
0.259711352455833_0.452956645498186_0.191609821074781_0.0593225998699225_0.036399581101278_1,2.3489747307456,-3.03239625792558,6.02433214034337,2.76403305073328,-0.24865070419456,-0.0377397174044194,0.288182257871903,234.719871516764,10.1349034256929,MoNbTaVW,0.259711352455833,0.452956645498186,0.191609821074781,0.0593225998699225,0.036399581101278,1,19,53
0.259711352455833_0.452956645498186_0.191609821074781_0.0593225998699225_0.036399581101278_2,2.33422395230607,-3.05336138639063,5.88785461647066,2.73889154755608,-0.223108118612506,-0.0342339714653722,0.275748201280577,233.755641241076,10.0192785111731,MoNbTaVW,0.259711352455833,0.452956645498186,0.191609821074781,0.0593225998699225,0.036399581101278,2,19,53
0.259711352455833_0.452956645498186_0.191609821074781_0.0593225998699225_0.036399581101278_3,2.33288918850912,-3.04492251774475,5.8908825193338,2.7620066605407,-0.232706534587316,-0.0438441705233658,0.278254744119739,234.057088440936,10.0171192462551,MoNbTaVW,0.259711352455833,0.452956645498186,0.191609821074781,0.0593225998699225,0.036399581101278,3,19,53
0.25_0.25_0.25_0.25_0_1,2.12896132818158,-2.66212126921381,4.84580409036196,2.4937836135864,-0.292438059789865,-0.0589730774830664,0.336563671423183,153.50554268961,8.34700807873673,Mo_Nb_Ta_V,0.25,0.25,0.25,0.25,0,1,0,54
0.25_0.25_0.25_0_0.25_1,2.32783419169291,-2.85771097565662,6.01481583390932,3.01144724974328,-0.392542653485411,-0.0765018879832542,0.343208307855752,229.645961493252,10.1409658140607,Mo_Nb_Ta_W,0.25,0.25,0.25,0,0.25,1,0,55
0.25_0.25_0_0.25_0.25_1,2.34571892068751,-2.86120138059639,5.86572436596158,3.0031257603524,-0.29007311756022,-0.0459957624307406,0.333447637818695,219.005468598911,10.2792210031395,Mo_Nb_V_W,0.25,0.25,0,0.25,0.25,1,0,56
0.25_0_0.25_0.25_0.25_1,2.31648950112049,-2.80346038590687,5.7172337744571,2.93905826122088,-0.291801567382824,-0.0577851727430046,0.344452212891049,201.870310551039,9.98774029040077,Mo_Ta_V_W,0.25,0,0.25,0.25,0.25,1,0,57
0.2_0.2_0.2_0.2_0.2_1,2.24086980507376,-2.777400279237,5.41399122460523,2.75485509132818,-0.309357371161633,-0.0661331706821179,0.334874546018181,187.713589153942,9.30813878076264,Mo_Nb_Ta_V_W,0.2,0.2,0.2,0.2,0.2,1,0,59
0.2_0.8_0_0_0_1,2.23065994346932,-2.76145097782934,5.4628630344219,2.72333562332148,-0.377115568428427,-0.0458797894817129,0.343407903097888,196.293153910378,9.2058557360646,MoNb,0.2,0.8,0,0,0,1,0,58
0.2_0.8_0_0_0_2,2.23724599099743,-2.74264164587183,5.53312946112541,2.74153201466487,-0.394541821449147,-0.0466357847827471,0.354469348906355,196.223359330043,9.26745006784832,MoNb,0.2,0.8,0,0,0,2,0,58
0.2_0.8_0_0_0_3,2.24296699108131,-2.7333680090865,5.56870214461519,2.75088856775261,-0.407889256055725,-0.0495143365717157,0.360099067236875,196.447809183668,9.28257534401548,MoNb,0.2,0.8,0,0,0,3,0,58
0.2_0_0.8_0_0_1,2.33983611452563,-2.46040917818761,6.07109794178368,3.04279853147636,-0.476235190859216,-0.0986495516774967,0.516468722870928,163.004109742363,10.0130184153701,MoTa,0.2,0,0.8,0,0,1,0,60
0.2_0_0.8_0_0_2,2.34040520551857,-2.46040917818762,6.0709477590512,3.0407138753951,-0.479442966006109,-0.100836005573635,0.516459002447562,162.912794764644,9.99657897122291,MoTa,0.2,0,0.8,0,0,2,0,60
0.2_0_0.8_0_0_3,2.3679665933269,-2.39250980052203,6.34985339134803,3.10800054749097,-0.556013494791603,-0.0848749694634695,0.578328360072611,166.432552843406,10.2638190571477,MoTa,0.2,0,0.8,0,0,3,0,60
0.2_0_0_0.8_0_1,2.31533935435427,-2.67655153404285,5.53414033809709,2.90541103554657,-0.242775586985941,0.00318552847720459,0.378749092445094,180.425623162154,10.0119167366056,MoV,0.2,0,0,0.8,0,1,0,61
0.2_0_0_0.8_0_2,2.31331534747465,-2.67075441635851,5.55968772347893,2.91799531848352,-0.245079649645583,0.00433052180049353,0.38272202777672,180.614327061263,10.0571132309376,MoV,0.2,0,0,0.8,0,2,0,61
0.2_0_0_0.8_0_3,2.32476448167173,-2.66212126921381,5.59973263774678,2.93252250138741,-0.250052119439183,0.00418443854345122,0.388841793117588,180.564724044407,10.1110475662098,MoV,0.2,0,0,0.8,0,3,0,61
0.2_0_0_0_0.8_1,2.7175739283527,-3.09665819214394,8.15699615057119,4.39437169978142,-0.284843865194159,-0.0347335752283519,0.365692274309052,380.538847301976,14.9937486068047,MoW,0.2,0,0,0,0.8,1,0,62
0.2_0_0_0_0.8_2,2.72065066636443,-3.08347118786198,8.25361253375417,4.43937464551452,-0.293310497132602,-0.0357988789850331,0.374980619038201,380.534388247988,15.1471213759265,MoW,0.2,0,0,0,0.8,2,0,62
0.2_0_0_0_0.8_3,2.71945886013387,-3.0878475624618,8.21936415542504,4.42227946126488,-0.292214463488995,-0.0361424698263978,0.371780756836339,380.591064757802,15.0848493293509,MoW,0.2,0,0,0,0.8,3,0,62
0.333333333333333_0.333333333333333_0.333333333333333_0_0_1,2.23383753288008,-2.64507540194082,5.8450079692982,2.80713835387505,-0.554531178918337,-0.103141036486636,0.413154167055653,194.012844612644,9.19692478683658,Mo_Nb_Ta,0.333333333333333,0.333333333333333,0.333333333333333,0,0,1,0,43
0.333333333333333_0.333333333333333_0_0.333333333333333_0_1,2.20211465041577,-2.78062089393705,5.0484656642951,2.66034630234999,-0.243497754382109,-0.0344826706390936,0.311203233296699,178.619856179109,9.00488987144347,Mo_Nb_V,0.333333333333333,0.333333333333333,0,0.333333333333333,0,1,0,44
0.333333333333333_0.333333333333333_0_0_0.333333333333333_1,2.42405243370015,-3.02002496612304,6.29407084596266,3.30859623537224,-0.309188014184214,-0.0485667057204789,0.304911441486616,279.17128115314,11.1810801771249,Mo_Nb_W,0.333333333333333,0.333333333333333,0,0,0.333333333333333,1,0,45
0.333333333333333_0_0.333333333333333_0.333333333333333_0_1,2.17115190947415,-2.65926003693278,5.01469362110521,2.59712299123702,-0.288721680267873,-0.0600019279944527,0.349284423483822,157.498006498157,8.69942615022806,Mo_Ta_V,0.333333333333333,0,0.333333333333333,0.333333333333333,0,1,0,46
0.333333333333333_0_0.333333333333333_0_0.333333333333333_1,2.42232040749112,-2.94124408826992,6.36612405348276,3.32245097374597,-0.319230098421795,-0.0533232879980198,0.333875868918491,260.917771210021,11.2447956192976,Mo_Ta_W,0.333333333333333,0,0.333333333333333,0,0.333333333333333,1,0,47
0.333333333333333_0_0_0.333333333333333_0.333333333333333_1,2.5200507877446,-2.84386992424475,6.91628929711181,3.65520889472012,-0.3223340555704,-0.0465772490881186,0.400050472015628,259.000144139071,12.3796402051202,Mo_V_W,0.333333333333333,0,0,0.333333333333333,0.333333333333333,1,0,48
0.36_0.56_0.04_0.04_0_1,2.21309318552178,-2.84043938914796,5.36561542642181,2.73544038464742,-0.350493991469789,-0.0575877825481844,0.311519301580067,206.108755877391,9.15725115541272,MoNbTaV,0.36,0.56,0.04,0.04,0,1,6,266
0.36_0.56_0.04_0.04_0_2,2.21036060892656,-2.8507665033038,5.32882318859907,2.72276289966291,-0.342003054810904,-0.056400971906712,0.3061806198349,206.280247077049,9.12015010951516,MoNbTaV,0.36,0.56,0.04,0.04,0,2,6,266
0.36_0.56_0.04_0.04_0_3,2.20679189350068,-2.86120138059638,5.28628607820746,2.71017593480159,-0.330073798410894,-0.0530874474129451,0.300556366795455,206.268732787018,9.09037021456609,MoNbTaV,0.36,0.56,0.04,0.04,0,3,6,266
0.379867673301018_0.452048805094202_0.0375305434025656_0.108994048771415_0.0215589294307989_1,2.32469300989213,-3.00376444525127,5.74433603185971,2.95778658062137,-0.280752715038364,-0.0474778808825432,0.282868913946861,245.961623228614,10.0938050917101,MoNbTaVW,0.379867673301018,0.452048805094202,0.0375305434025656,0.108994048771415,0.0215589294307989,1,3,42
0.379867673301018_0.452048805094202_0.0375305434025656_0.108994048771415_0.0215589294307989_2,2.32975079765145,-2.96423360649462,5.90958357369511,3.01763586383805,-0.321008703003644,-0.0598835550778799,0.302853915801976,245.636646931668,10.2434570883417,MoNbTaVW,0.379867673301018,0.452048805094202,0.0375305434025656,0.108994048771415,0.0215589294307989,2,3,42
0.379867673301018_0.452048805094202_0.0375305434025656_0.108994048771415_0.0215589294307989_3,2.32957256221331,-2.98380370268872,5.8330630110165,2.99084640418094,-0.298260356768737,-0.0506478242983658,0.293082857305174,245.995928940574,10.1935251704383,MoNbTaVW,0.379867673301018,0.452048805094202,0.0375305434025656,0.108994048771415,0.0215589294307989,3,3,42
0.3_0.7_0_0_0_1,2.21739376885389,-2.81674961802554,5.38031797450666,2.69622180493654,-0.369888693681454,-0.0638883554873109,0.319927195909657,201.116726707282,9.04621381929027,MoNb,0.3,0.7,0,0,0,1,100,49
0.3_0.7_0_0_0_2,2.2123033349564,-2.83361342407754,5.31488733578896,2.67670391321432,-0.352537939768123,-0.0603787248707704,0.310710122587697,201.177571320031,8.99398791446955,MoNb,0.3,0.7,0,0,0,2,100,49
0.3_0.7_0_0_0_3,2.22176727624414,-2.79688141480884,5.45420136453622,2.71498445089443,-0.393446008924056,-0.0689595481103755,0.330882020026225,201.047075735522,9.08800442173553,MoNb,0.3,0.7,0,0,0,3,100,49
0.3_0_0.7_0_0_1,2.27061800687856,-2.45108510131249,6.10082360602522,2.92196176437113,-0.680366139776398,-0.123777874302021,0.524042424208354,176.535265033398,9.31968936911185,MoTa,0.3,0,0.7,0,0,1,100,50
0.3_0_0.7_0_0_2,2.27550899666225,-2.4349742810398,6.15583588480161,2.92384130213889,-0.704802969040794,-0.119567830461626,0.53740105654198,177.497014186874,9.33477630653872,MoTa,0.3,0,0.7,0,0,2,100,50
0.3_0_0.7_0_0_3,2.27180893973865,-2.45108510131249,6.10416177096074,2.92417396573522,-0.680381505403397,-0.124418223575926,0.524328966164505,176.511083210145,9.32516020988484,MoTa,0.3,0,0.7,0,0,3,100,50
0.3_0_0_0.7_0_1,2.34986342192031,-2.69119308403579,5.76611191719175,3.04138935421148,-0.24020135137069,-0.00366099343376645,0.388849680026758,188.267406994277,10.4659000837182,MoV,0.3,0,0,0.7,0,1,100,51
0.3_0_0_0.7_0_2,2.32394141902217,-2.72723302051899,5.59789509361688,2.96705192915486,-0.221624921375067,-0.0011496116327529,0.364059959276458,188.523211613779,10.2161140536668,MoV,0.3,0,0,0.7,0,2,100,51
0.3_0_0_0.7_0_3,2.33312093416483,-2.71810053695572,5.64026728186275,2.98547305518272,-0.226494334312129,-0.00198608984732892,0.370202813792077,188.444950651167,10.2775775662533,MoV,0.3,0,0,0.7,0,3,100,51
0.3_0_0_0_0.7_1,2.69756859995488,-3.09665819214394,8.02450386995468,4.33642497516625,-0.286598925539996,-0.0393969493010989,0.359755651264171,375.934375816077,14.7462669171545,MoW,0.3,0,0,0,0.7,1,100,52
0.3_0_0_0_0.7_2,2.70076614085148,-3.09665819214395,8.02378834291231,4.33603310211949,-0.285724032073687,-0.0378667040393976,0.35972262777469,375.9085057786,14.7506193129383,MoW,0.3,0,0,0,0.7,2,100,52
0.3_0_0_0_0.7_3,2.69014636907179,-3.11002141995612,7.93485024757466,4.29778303009157,-0.273051924216973,-0.0353584023581829,0.350965987306278,375.835593803439,14.6292862898879,MoW,0.3,0,0,0,0.7,3,100,52
0.428571428571429_0.21428571428571_0.0714285714285714_0.0714285714285714_0.214285714285714_1,2.51221835424451,-3.0878475624618,6.89683052849286,3.42936010700271,-0.266272137900405,-0.0381511747853352,0.311971258691626,300.675382912032,12.1090658537783,MoNbTaVW,0.428571428571429,0.21428571428571,0.0714285714285714,0.0714285714285714,0.214285714285714,1,17,37
0.428571428571429_0.21428571428571_0.0714285714285714_0.0714285714285714_0.214285714285714_2,2.50694615414989,-3.08784756246178,6.89322041299544,3.42468432273899,-0.269896977911697,-0.0430277644372628,0.311811274043791,300.429987751559,12.0773044569262,MoNbTaVW,0.428571428571429,0.21428571428571,0.0714285714285714,0.0714285714285714,0.214285714285714,2,17,37
0.428571428571429_0.21428571428571_0.0714285714285714_0.0714285714285714_0.214285714285714_3,2.49927492466836,-3.11002141995611,6.7612222706393,3.38924300582588,-0.248186266910304,-0.0363256248591601,0.299064538237097,301.053424322865,11.9478233166123,MoNbTaVW,0.428571428571429,0.21428571428571,0.0714285714285714,0.0714285714285714,0.214285714285714,3,17,37
0.468262892970793_0.205354348088931_0.0988444935627599_0.168163171984643_0.0593750933928729_1,2.47756096298069,-3.09665819214396,6.61751900363243,3.29015167276455,-0.226604362196877,-0.0422455689334345,0.296664405503915,285.543103021609,11.6665858410516,MoNbTaVW,0.468262892970793,0.205354348088931,0.0988444935627599,0.168163171984643,0.0593750933928729,1,15,36
0.468262892970793_0.205354348088931_0.0988444935627599_0.168163171984643_0.0593750933928729_2,2.47535566346522,-3.09665819214396,6.63471387211345,3.28862404609133,-0.227898171813586,-0.0415449488851505,0.29743587497681,285.708327553399,11.6800979454396,MoNbTaVW,0.468262892970793,0.205354348088931,0.0988444935627599,0.168163171984643,0.0593750933928729,2,15,36
0.468262892970793_0.205354348088931_0.0988444935627599_0.168163171984643_0.0593750933928729_3,2.47919326936713,-3.09665819214394,6.61962673235969,3.29109002821932,-0.226105434290337,-0.0396040226438915,0.296758392381028,285.789565260805,11.6780124919469,MoNbTaVW,0.468262892970793,0.205354348088931,0.0988444935627599,0.168163171984643,0.0593750933928729,3,15,36
0.471211344493835_0.393716987664529_0.028239730499606_0.0173855623909212_0.0894463749511089_1,2.37815616330509,-3.00780485478827,6.17732557680498,3.06861681170826,-0.297424625022228,-0.0542182412110846,0.302951221436214,256.538614480224,10.6637684256246,MoNbTaVW,0.471211344493835,0.393716987664529,0.028239730499606,0.0173855623909212,0.0894463749511089,1,2,35
0.471211344493835_0.393716987664529_0.028239730499606_0.0173855623909212_0.0894463749511089_2,2.37397282676201,-3.02002496612305,6.10752512178762,3.04669501056326,-0.287926050731845,-0.0523872171804787,0.295858063698158,256.669435708946,10.5813892828742,MoNbTaVW,0.471211344493835,0.393716987664529,0.028239730499606,0.0173855623909212,0.0894463749511089,2,2,35
0.471211344493835_0.393716987664529_0.028239730499606_0.0173855623909212_0.0894463749511089_3,2.36694452693457,-3.02002496612303,6.11364812757382,3.04713715316397,-0.288445380988693,-0.0518442700210155,0.29615487504177,256.850572280767,10.5885055830146,MoNbTaVW,0.471211344493835,0.393716987664529,0.028239730499606,0.0173855623909212,0.0894463749511089,3,2,35
0.4_0.6_0_0_0_1,2.23663176862764,-2.91877123241787,5.27594041827552,2.77346973065323,-0.306557959821077,-0.0588427944817481,0.283059682488795,217.378234732117,9.22501135615559,MoNb,0.4,0.6,0,0,0,1,0,38
0.4_0.6_0_0_0_2,2.24413395014521,-2.8895720777256,5.39037095428755,2.8127034359466,-0.334571742029598,-0.0633152057016703,0.297842169600556,217.445009414373,9.33468079143961,MoNb,0.4,0.6,0,0,0,2,0,38
0.4_0.6_0_0_0_3,2.25289372570802,-2.86120138059639,5.50065607538486,2.84089521402444,-0.369400303300789,-0.0736017758030645,0.312762874247993,217.01058025625,9.39145261454615,MoNb,0.4,0.6,0,0,0,3,0,38
0.4_0_0.6_0_0_1,2.24740094694679,-2.6063965473757,5.85229972862981,2.91461550089015,-0.575259996042866,-0.152921243367625,0.430064205372082,185.790785972451,9.21621553594728,MoTa,0.4,0,0.6,0,0,1,0,39
0.4_0_0.6_0_0_2,2.24566539193322,-2.6621212692138,5.65577438555678,2.89672168862802,-0.477480984647222,-0.13680390361911,0.392930289230025,185.203154697556,9.24532141689408,MoTa,0.4,0,0.6,0,0,2,0,39
0.4_0_0.6_0_0_3,2.24648217085864,-2.60639654737572,5.84710175371968,2.91190075529449,-0.577578969828149,-0.153955399494861,0.429684431045309,185.786361200188,9.19859193072976,MoTa,0.4,0,0.6,0,0,3,0,39
0.4_0_0_0.6_0_1,2.38486039097547,-2.73954086819359,5.8811311206109,3.1498901952135,-0.233090810784211,-0.0182353695922219,0.377774253173949,199.231760625589,10.7450964422982,MoV,0.4,0,0,0.6,0,1,0,40
0.4_0_0_0.6_0_2,2.39901451370629,-2.70306265959116,6.05249785239721,3.22583496693032,-0.257842622221099,-0.0237405350098823,0.403323861617968,198.896959293697,10.9796143720201,MoV,0.4,0,0,0.6,0,2,0,40
0.4_0_0_0.6_0_3,2.39391987898669,-2.71810053695571,5.9889491211065,3.19546118531706,-0.247249294959012,-0.0207976902717334,0.393093668113593,199.174412918269,10.8942223095622,MoV,0.4,0,0,0.6,0,3,0,40
0.4_0_0_0_0.6_1,2.6775471408709,-3.09665819214397,7.91140021738593,4.29145126546428,-0.28413968780638,-0.0395243726780626,0.354683419640539,372.068246151795,14.5609901158594,MoW,0.4,0,0,0,0.6,1,0,41
0.4_0_0_0_0.6_2,2.67545107787501,-3.10109278921181,7.87909315364558,4.27966248215906,-0.280316595568443,-0.0393871287449804,0.351656485757126,372.103994538467,14.5169175703382,MoW,0.4,0,0,0,0.6,2,0,41
0.4_0_0_0_0.6_3,2.66898905372162,-3.12356564506388,7.73170230133542,4.21320045577011,-0.261576396104282,-0.0352421549042498,0.337334449393698,372.107895119297,14.305601957525,MoW,0.4,0,0,0,0.6,3,0,41
0.503329559403349_0.247824139044354_0.188119014393079_0.00428983457920873_0.0564374525800091_1,2.42767883118138,-3.22892616072169,6.29654292233837,2.92056584910841,-0.187092532358888,-0.0241653102644295,0.246988877967457,285.766398362618,10.8381670945392,MoNbTaVW,0.503329559403349,0.247824139044354,0.188119014393079,0.00428983457920873,0.0564374525800091,1,4,30
